registered_charity_number,charity_name,income_donations_and_legacies,income,expenditure
1125684,OPEN DOORS WITH BROTHER ANDREW,16651466,16761021,15874352
1146219,The Auckland Project,16579838,17988533,10295773
1024806,INTERNATIONAL FUND FOR ANIMAL WELFARE (IFAW),16497423,16651939,16361077
1139250,MUSEUM OF LONDON,16379000,37951000,41303000
1098100,OASIS INTERNATIONAL ASSOCIATION,15947000,217409000,240346000
1103669,THE GURKHA WELFARE TRUST,15905000,25259000,22504000
1168223,GATSBY AFRICA,15896000,16135000,15904000
1141155,GIRL EFFECT,15886516,17327620,16266766
1092935,BARNABAS FUND,15840529,15850613,16551797
221124,CHURCH OF ENGLAND CHILDREN'S SOCIETY,15785000,37525000,52557000
1182006,THE CINQUEFOIL TRUST,15683951,16025523,173727
1112540,ENGLAND AND WALES CRICKET TRUST,15650000,16817884,12900669
228824,THE PIRBRIGHT INSTITUTE,15449000,60079000,45579000
802142,JOHN SWIRE 1989 CHARITABLE TRUST,15437281,17342274,1565459
1176462,MUSLIM AID,15343454,19977571,19753020
1157301,THE GAUDIO FAMILY FOUNDATION (UK) LIMITED,15258457,15411585,5239935
1079049,CYSTIC FIBROSIS TRUST,15196000,16527000,16500000
313001,THE SOUTHWARK DIOCESAN BOARD OF EDUCATION (INCORPORATED),15158835,17278524,6441654
207720,THE ROYAL NATIONAL INSTITUTE FOR DEAF PEOPLE,15153000,42702000,41509000
1149828,CENTRE FOR EFFECTIVE ALTRUISM,15022831,15521709,8585677
1179135,THE INSTITUTE OF ISMAILI STUDIES,14936836,14937928,15256431
1049751,THE CHRISTIE CHARITABLE FUND,14928292,15325890,41555563
1051681,AMNESTY INTERNATIONAL UK SECTION CHARITABLE TRUST,14922000,19488000,19982000
1169698,COUNTY HALL ARTS,14790889,21158570,581889
243134,THE CHICHESTER DIOCESAN FUND AND BOARD OF FINANCE (INCORPORATED),14695000,17831000,17707000
1165054,TELLES FOUNDATION,14654000,14667300,14199127
1109476,THE BORDER CONSORTIUM,14640590,14671780,14193170
266220,THE THALIDOMIDE TRUST,14605000,28464000,32315000
208231,SCOPE,14576000,41051000,45034000
208223,THE ROYAL INSTITUTE OF INTERNATIONAL AFFAIRS,14569000,28897000,19123000
1163706,AL-AYN SOCIAL CARE FOUNDATION,14554371,14615575,14013959
1097217,CHRISTIANS AGAINST POVERTY,14325000,15360000,14246000
306101,THE SCOUT ASSOCIATION,14224000,53542000,54848000
1120355,HILLSONG CHURCH LONDON,14169836,14703388,12541768
1169061,NMRN OPERATIONS,13979770,22715854,17575217
1163459,THE JAGCLIF CHARITABLE TRUST,13902389,34512960,7413418
1079688,THE JOHN ARMITAGE CHARITABLE TRUST,13876174,14097757,3248536
1062559,TEENAGE CANCER TRUST,13785761,15628165,14963752
249740,THE LIVERPOOL DIOCESAN BOARD OF FINANCE,13781764,15123269,13622485
1080418,QUARTET COMMUNITY FOUNDATION,13762209,13956133,5315824
1081009,THE ROYAL AIR FORCE BENEVOLENT FUND,13721000,19138000,31135000
1096479,SHELTERBOX TRUST,13644000,13977000,11460000
298405,CHILDREN WITH CANCER UK,13583698,13762005,15342172
1095322,ABSOLUTE RETURN FOR KIDS (ARK),13488000,13687000,16057000
1143118,MIDLANDS AIR AMBULANCE CHARITY,13456000,14594000,10879000
267618,THE WESTMINSTER FOUNDATION,13414873,13420934,13485207
1175245,LAIDLAW FOUNDATION,13334894,13334894,5336264
1183478,ALLAN & GILL GRAY PHILANTHROPY,13324871,13324871,12588193
511726,OPERA NORTH LIMITED,13308904,17744074,18420652
1107737,FUSION LIFESTYLE,13251000,48695000,66877000
1075032,THE NATIONAL FOUNDATION FOR YOUTH MUSIC,13209860,13320417,10954965
248887,THE ST ALBANS DIOCESAN BOARD OF FINANCE,13209000,25738000,21977000
281942,THE GRAND CHARITY,13199000,13477000,13236000
243877,GLYNDEBOURNE PRODUCTIONS LIMITED,13185229,16144075,17027754
1113064,THE FEBRUARY FOUNDATION,13161105,17207218,12820728
1100051,FARESHARE,13156000,16084000,14319000
216032,BLOODWISE,13041000,14461000,10731000
222377,ROYAL MENCAP SOCIETY,12957000,220240000,212820000
1040756,PLACE2BE,12953000,23184000,18375000
221538,WELSH NATIONAL OPERA LIMITED,12940000,15816000,18147000
1043985,THE UNIVERSAL CHURCH OF THE KINGDOM OF GOD,12916512,14359249,14298093
1094561,UNIVERSITY OF PENNSYLVANIA (USA) FOUNDATION LIMITED,12841739,12860309,12912033
1127633,BRITAIN YEARLY MEETING OF THE RELIGIOUS SOCIETY OF FRIENDS (QUAKERS),12810000,16087000,12026000
214005,ENGLISH NATIONAL BALLET,12769000,24206000,21830000
1110522,THE TRUSSELL TRUST,12750000,21330000,13985000
1064598,MISSION AVIATION FELLOWSHIP UK,12634000,12651000,12264000
1143083,BOCHASANWASI SHRI AKSHAR PURUSHOTTAM SWAMINARAYAN SANSTHA,12621165,12772394,5904180
1149085,ST MUNGO COMMUNITY HOUSING ASSOCIATION,12552000,106985000,108793000
1184658,MICHAEL AND SARAH SPENCER FOUNDATION,12508043,12513290,12424941
1179779,KEN DODD CHARITABLE FOUNDATION,12500000,12890623,851937
1128536,STREET CHILD,12475749,13736374,12017606
1186533,TUSK TRUST LIMITED,12423382,12736409,12221285
1000580,SHAUKAT KHANUM MEMORIAL TRUST,12360566,12360566,10609136
248245,GUILDFORD DIOCESAN BOARD OF FINANCE,12359000,14329000,13551000
1093861,INTERNATIONAL MEDICAL CORPS (UK),12329438,96625428,104055918
1076356,THE LEPROSY MISSION INTERNATIONAL,12267007,14794916,14720107
1117535,THE WATERLOO FOUNDATION,12256500,17775166,14098787
1171510,BRITISH FRIENDS OF THE ART MUSEUMS OF ISRAEL,12249861,13036623,1062403
1181098,THE NATASHA ALLERGY RESEARCH FOUNDATION,12215121,12227171,667650
1143166,THE COLLEGE OF ST PETER LE BAILEY IN THE UNIVERSITY OF OXFORD,12157000,18840000,8380000
1186893,THE SCOPS ARTS TRUST,12147560,12244458,760182
232759,THE BRITISH AND FOREIGN BIBLE SOCIETY,12003000,20239000,21314000
310007,ROYAL ACADEMY OF MUSIC,11994730,26161693,24962790
248968,THE CHESTER DIOCESAN BOARD OF FINANCE,11877000,14481000,15446000
1168183,THE FELIX PROJECT,11746861,12360190,3633108
244708,ROYAL AIR FORCE MUSEUM,11676000,15688000,16924000
219432,SAMARITANS,11646717,20573833,19142796
1132048,THE ROYAL FOUNDATION OF THE DUKE AND DUCHESS OF CAMBRIDGE,11622405,11823392,9156411
1126147,THE ACCESS TO JUSTICE FOUNDATION,11597557,11598573,11113651
228089,MUSICIANS BENEVOLENT FUND,11545000,12615000,22862000
1000340,FREEDOM FROM TORTURE,11422655,12811854,10147200
1128056,THE MILL CHARITABLE TRUST,11406595,11407313,3642963
234216,BIRMINGHAM DIOCESAN TRUST,11294000,19486000,23853000
1095050,COMPASSION IN WORLD FARMING INTERNATIONAL,11286599,11573504,11270663
267510,THE KASNER CHARITABLE TRUST,11240000,11472353,8346606
249276,WINCHESTER DIOCESAN BOARD OF FINANCE,11212000,13525000,12470000
249798,THE EXETER DIOCESAN BOARD OF FINANCE,11209000,16507000,14265000
1168375,ILLUMINATED RIVER FOUNDATION,11184613,11184613,6232324
1160373,THE POWER OF NUTRITION,11178841,11258700,25258260
247257,PRACTICAL ACTION,11124000,36072000,37863000
290766,THE GREAT BRITAIN SASAKAWA FOUNDATION,11120996,11803469,1181193
1086179,ALPHA INTERNATIONAL,11080777,11710406,11068282
528752,RUGBY SCHOOL,11060000,48187000,37678000
1097984,AID TO THE CHURCH IN NEED (UNITED KINGDOM),10934319,11304101,9766306
1181775,THE WELLAND TRUST,10928520,11019822,799087
247647,THE BLACKBURN DIOCESAN BOARD OF FINANCE LIMITED,10848000,12852000,11618000
